ACT Code	High School	State	Active
020239	HOLY CROSS SCHOOL	AK	N
020240	NANWALEK SCHOOL	AK	N
020241	IGIUGIG SCHOOL	AK	N
020242	PELICAN HIGH SCHOOL	AK	N
020243	EAGLE COMMUNITY SCHOOL	AK	N
020244	REVILLA HIGH SCHOOL	AK	N
020245	IDITAROD AREA SCHOOL DIST	AK	N
020246	TIKIGAQ SCHOOL	AK	N
020247	ANTHONY A ANDREWS SCHOOL	AK	N
020248	TUKURNGAILNGUQ SCHOOL	AK	N
020249	HOGARTH KINGEEKUK SR MEML HS	AK	Y
020250	CLARKS POINT HIGH SCHOOL	AK	Y
020251	HILLCREST CHRISTIAN ACADEMY	AK	Y
020252	BREVIG MISSION HIGH SCHOOL	AK	N
020253	MARTIN L OLSON SCHOOL	AK	N
020254	SAINT PAUL ISLAND SCHOOL	AK	N
020255	MANNA CHRISTIAN ACADEMY	AK	Y
020256	KODIAK CHRISTIAN SCHOOL	AK	Y
020258	DELTA CHRISTIAN CENTER	AK	Y
020259	HILLCREST CHRISTIAN SCHOOL	AK	Y
020260	NUIQSUT TRAPPER SCHOOL	AK	N
020261	KALIFONSKY CHRISTIAN SCHOOL	AK	Y
020262	ZION CHRISTIAN SCHOOL	AK	Y
020263	FAR NORTH CHRISTIAN SCHOOL	AK	N
020265	PITKAS POINT SCHOOL	AK	N
020266	COMMUNITY CHRISTIAN HS	AK	N
020267	ASSEMBLY CHRISTIAN SCHOOL	AK	Y
020268	CHURCH OF GOD CHRISTIAN SCH	AK	Y
020269	JIMMY HUNTINGTON SCHOOL	AK	N
020270	GLACIER VIEW SCHOOL	AK	N
020271	CULLY SCHOOL	AK	Y
020272	MINTO SCHOOL	AK	N
020273	MERRELINE A KANGAS HIGH SCHOOL	AK	N
020274	NIKISKI MIDDLE/HIGH SCHOOL	AK	N
020275	ANDREAFSKI HIGH SCHOOL	AK	N
020276	CIRCLE SCHOOL	AK	N
020277	MENTASTA LAKE KATIE JOHN SCH	AK	N
020278	EGEGIK SCHOOL	AK	N
020279	PILOT POINT SCHOOL	AK	N
020280	TANALIAN SCHOOL	AK	N
020281	SAVE 2 HIGH SCHOOL	AK	Y
020282	HOWARD VALENTINE SCHOOL	AK	N
020283	BURCHELL HIGH SCHOOL	AK	N
020284	PALMER COMMUNITY CHRSTN SCH	AK	Y
020285	SKYVIEW HIGH SCHOOL	AK	N
020286	COLONY HIGH SCHOOL	AK	N
020287	GUIDED INDEPENDENT STUDY	AK	N
020288	CUBE COVE HIGH SCHOOL	AK	Y
020289	JOHN GREEN SCHOOL	AK	Y
020290	SOUTHEAST ISLAND SCHOOL DIST	AK	N
020291	EDNA BAY SCHOOL	AK	N
020292	MATANUSKA CHRISTIAN SCHOOL	AK	N
020293	GEORGE WOODBURY SCHOOL THE	AK	Y
020294	JUBILEE CHRISTIAN SCHOOL	AK	N
020295	TATITLEK COMMUNITY SCHOOL	AK	N
020296	TENAKEE SPRINGS SCHOOL	AK	N
020297	SAVE HIGH SCHOOL	AK	N
020298	HOLY ROSARY ACADEMY	AK	N
020300	CHINIAK SCHOOL	AK	N
020301	CROW VILLAGE SAM SCHOOL	AK	N
020302	JOHNNY JOHN SCHOOL	AK	N
020303	KARLUK SCHOOL	AK	N
020304	DANGER BAY SCHOOL	AK	N
020305	GEORGE WILLIS SENIOR SCHOOL	AK	N
020306	SLEETMUTE SCHOOL	AK	N
020307	GUSTY MICHAEL SCHOOL	AK	N
020308	BIG SANDY LAKE SCHOOL	AK	N
020309	KINGIKMIUT WALES SCHOOL	AK	N
020310	KASIGLUK-AKIUK	AK	N
020311	POLK INLET SCHOOL	AK	Y
020312	POLARIS K-12 SCHOOL	AK	N
020313	GATEWAY SCHOOL	AK	Y
020314	NAUKATI SCHOOL	AK	Y
020315	ALASKA WILDERNESS ACADEMY	AK	Y
020316	MARTIN LUTHER KING CAREER CTR	AK	N
020317	LUMEN CHRISTI HIGH SCHOOL	AK	N
020318	K-12 ALTERNATIVE SCHOOL	AK	Y
020319	BETHEL YOUTH FACILITY	AK	N
020320	ALASKA NATIONAL GUARD YTH CORP	AK	N
020321	PACIFIC HIGH SCHOOL	AK	N
020322	FRONTIER HIGH SCHOOL	AK	N
020323	VOZNESENKA SCHOOL	AK	N
020324	SMOKY BAY SCHOOL	AK	N
020325	RESTORATION GRACE CHRISTIAN SC	AK	N
020326	MEYERS CHUCK SCHOOL	AK	Y
020327	BIBLE BAPTIST CHURCH SCHOOL	AK	N
020328	ALLAKAKET SCHOOL	AK	N
020329	OSCARVILLE HIGH SCHOOL	AK	N
020330	SAPA CHRISTIAN SCHOOL	AK	N
020331	HOGARTH KINGEEKUK SR MEM HS	AK	N
020332	ELFIN COVE SCHOOL	AK	Y
020333	FAMILY PARTNERSHIP CHARTER SCH	AK	N
020334	KENAI ALTERNATIVE HIGH SCHOOL	AK	N
020335	KLUKWAN SCHOOL	AK	N
020336	EAGLE CREST ACADEMY	AK	N
