<pre>
<B>Information is listed alphabetically by district.
Use the "Edit," "Find" function of your browser to search for a district.


SCHOOL DISTRICT/SCHOOL                 ENTITY NUMBER
  BERGEN BOULEVARD SCHOOL                       7821
  RIDGEFIELD MEMORIAL HIGH SCH                  7817
  SHALER BOULEVARD SCHOOL                       7818
  SLOCUM-SKEWES ELEM SCHOOL                     7819

RIDGEWOOD VILLAGE SCHOOL DIST                 122842
  BENJAMIN FRANKLIN MIDDLE SCH                  7504
  GEORGE WASHINGTON MIDDLE SCH                  7508
  HAWES ELEMENTARY SCHOOL                       7512
  ORCHARD ELEMENTARY SCHOOL                     7509
  RIDGE ELEMENTARY SCHOOL                       7507
  RIDGEWOOD HIGH SCHOOL                         7506
  SOMERVILLE ELEMENTARY SCHOOL                  7510
  TRAVELL ELEMENTARY SCHOOL                     7503
  WILLARD ELEMENTARY SCHOOL                     7502

RINGWOOD SCHOOL DISTRICT                      122845
  COOPER ELEMENTARY SCHOOL                      7524
  ERSKINE ELEMENTARY SCHOOL                     7522
  HEWITT ELEMENTARY SCHOOL                      7521
  RYERSON MIDDLE SCHOOL                         7525

RIVER DELL REGL HIGH SCH DIST                 122933
  RIVER DELL MIDDLE SCHOOL                      7829
  RIVER DELL SR HIGH SCHOOL                     7784

RIVER EDGE SCHOOL DISTRICT                    122949
  CHERRY HILL ELEMENTARY SCHOOL                 7831
  ROOSEVELT ELEMENTARY SCHOOL                   7833

RIVER VALE SCHOOL DISTRICT                    122964
  HOLDRUM MIDDLE SCHOOL                         7872
  ROBERGE ELEMENTARY SCHOOL                     7874
  WOODSIDE ELEMENTARY SCHOOL                    7873

RIVERDALE SCHOOL DISTRICT                     122847
  RIVERDALE ELEMENTARY SCHOOL                   7526

RIVERSIDE TOWNSHIP SCHOOL DIST                123260
  RIVERSIDE ELEMENTARY SCHOOL                   8701
  RIVERSIDE HIGH SCHOOL                         8702
  RIVERSIDE MIDDLE SCHOOL                       8707

RIVERTON BOROUGH SCHOOL DIST                  123265
  RIVERTON ELEMENTARY SCHOOL                    8715

ROCHELLE PARK SCHOOL DISTRICT                 122951
  MIDLAND ELEMENTARY SCHOOL 1                   7834

ROCKAWAY BOROUGH SCHOOL DIST                  123090
  JEFFERSON MIDDLE SCHOOL                       8197
  LINCOLN ELEMENTARY SCHOOL                     8200

ROCKAWAY TOWNSHIP SCHOOL DIST                 123067
  BIRCHWOOD ELEMENTARY SCHOOL                   8114
  COPELAND MIDDLE SCHOOL                        8194
  DWYER ELEMENTARY SCHOOL                       8253
  MALONE ELEMENTARY SCHOOL                      8202
  O'BRIEN ELEMENTARY SCHOOL                     8113
  STONY BROOK ELEMENTARY SCHOOL                 8195

ROSELAND BOARD OF EDUCATION                   122734
  NOECKER ELEMENTARY SCHOOL                     6910

ROSELLE BOROUGH SCHOOL DIST                   122790
  ABRAHAM CLARK HIGH SCHOOL                     7267
  GRACE WILDAY ELEMENTARY SCHOOL                7263
  HARRISON ELEMENTARY SCHOOL                    7265
  MOORE MIDDLE SCHOOL                           7266
  POLK ELEMENTARY SCHOOL                        7270
  WASHINGTON ELEMENTARY SCHOOL                  7268

ROSELLE PARK SCHOOL DISTRICT                  122792
  ALDENE ELEMENTARY SCHOOL                      7271
  ROBERT GORDON ELEMENTARY SCH                  7272
  ROSELLE PARK HIGH SCHOOL                      7273
  ROSELLE PARK MIDDLE SCHOOL                    7274
  SHERMAN ELEMENTARY SCHOOL                     7275

ROSSEVELT BOROUGH SCHOOL DIST                 123448
  ROOSEVELT ELEMENTARY SCHOOL                   9239

ROXBURY TWP SCHOOL DISTRICT                   123103
  EISENHOWER MIDDLE SCHOOL                      8230
  FRANKLIN ELEMENTARY SCHOOL                    8228
  JEFFERSON ELEMENTARY SCHOOL                   8225
  KENNEDY ELEMENTARY SCHOOL                     8232
  LINCOLN ROOSEVELT ELEM SCHOOL                 8229
  NIXON ELEMENTARY SCHOOL                       8170
  ROXBURY HIGH SCHOOL                           8231

RUMSON BOROUGH SCHOOL DISTRICT                123030
  DEANE-PORTER ELEMENTARY SCHOOL                8097
  FORRESTDALE ELEMENTARY SCHOOL                 8098

RUMSON-FAIR HAVEN REG H S DIST                123032
  RUMSON-FAIR HAVEN REG HIGH SCH                8100

RUNNEMEDE BOROUGH SCHOOL DIST                 123267
  BINGHAM ELEMENTARY SCHOOL                     8721
  DOWNING ELEMENTARY SCHOOL                     8719
  MARY E VOLZ MIDDLE SCHOOL                     8720

RUTHERFORD SCHOOL DISTRICT                    122737
  LINCOLN ELEMENTARY SCHOOL                     6918
  PIERREPONT ELEMENTARY SCHOOL                  6919
  RUTHERFORD HIGH SCHOOL                        6916
  SYLVAN ELEMENTARY SCHOOL                      6917
  UNION ELEMENTARY SCHOOL                       6911
  WASHINGTON ELEMENTARY SCHOOL                  6913

SADDLE BROOK BOE                              122952
  FRANKLIN ELEMENTARY SCHOOL                    7841
  LONG MEMORIAL ELEM SCHOOL                     7835
  SADDLE BROOK HIGH SCHOOL                      7837
  SMITH ELEMENTARY SCHOOL                       7836

SADDLE RIVER SCHOOL DISTRICT                  122850
  WANDELL ELEMENTARY SCHOOL                     7531

SALEM CITY SCHOOL DISTRICT                    123270
  JOHN FENWICK ELEMENTARY SCHOOL                8727
  SALEM HIGH SCHOOL                             8729
  SALEM MIDDLE SCHOOL                           8728

SALEM CO BOARD FOR VOC ED                     123318
  EMPLOYMENT PREP CENTER                        8725
  NEW JERSEY REG DAY SCH-MANNGTN                8826

SANDYSTON-WALPACK SCHOOL DIST                 123073
  SANDYSTON-WALPACK CONS SCHOOL                 8171

SAYREVILLE BOARD OF EDUCATION                 123571
  ARLETH ELEMENTARY SCHOOL                      9674
  EISENHOWER ELEMENTARY SCHOOL                  9677
  SAYREVILLE MEMEORIAL HIGH SCH                 9671
  SAYREVILLE MIDDLE SCHOOL                      9672
  TRUMAN ELEMENTARY SCHOOL                      9675
  WILSON ELEMENTARY SCHOOL                      9722

SCOTCH PLAINS-FANWOOD PUBLIC SCHOOLS          122749
  BRUNNER ELEMENTARY SCHOOL                     6951
  EVERGREEN ELEMENTARY SCHOOL                   6948
  J ACKERMAN COLES ELEM SCHOOL                  6952
  PARK MIDDLE SCHOOL                            6946
  SCOTCH PLAINES ELEM SCH ONE                   6945
  SCOTCH PLAINS-FANWOOD HIGH SCH                6950
  TERRILL MIDDLE SCHOOL                         6953
  WM MCGINN ELEMENTARY SCHOOL                   6944

SEA GIRT SCHOOL DISTRICT                      123487
  SEA GIRT ELEMENTARY SCHOOL                    9452

SEA ISLE CITY SCHOOL DISTRICT                 123368
  SEA ISLE PUBLIC SCHOOL                        8999

SEASIDE HEIGHTS SCHOOL DIST                   123488
  BOYD JUNIOR ELEMENTARY SCHOOL                 9453

SEASIDE PARK SCHOOL DISTRICT                  123489
  SEASIDE PARK ELEMENTARY SCHOOL                9454

SECAUCUS SCHOOL DISTRICT                      122772
  CLARENDON NO 4 ELEM SCHOOL                    7059
  HUBER ST ELEMENTARY SCHOOL 3                  7055
  SECAUCUS HIGH SCHOOL                          7056
  SECAUCUS MIDDLE SCHOOL                        7057

SHAMONG TWP SCHOOL DISTRICT                   123300
  INDIAN MILLS ELEMENTARY SCHOOL                8774

SHILOH SCHOOL DISTRICT                        123416
  SHILOH ELEMENTARY SCHOOL                      9097

SHORE REG HIGH SCHOOL DISTRICT                123036
  SHORE REGIONAL HIGH SCHOOL                    8107

SHREWSBURY BOROUGH SCHOOL DIST                122968
  SHREWSBURY BOROUGH SCHOOL                     7883

SOMERDLE BOROUGH SCHOOL DISTRICT              123283
  SOMERDALE PARK SCHOOL                         8752

SOMERS POINT SCHOOL DISTRICT                  123369
  DAWES AVENUE ELEMENTARY SCHOOL                9001
  JORDAN ROAD ELEMENTARY SCHOOL                 9002
  NEW YORK AVENUE SCHOOL                        9003

SOMERSET CO VOC TECH SCH DIST                 123504
  SOMERSET CO VOC-TECH HIGH SCH                 9495

SOMERSET HILLS SCHOOL DIST                    123120
  BERNARDS HIGH SCHOOL                          8284
  BERNARDSVILLE ELEMENTARY SCH                  8281
  BERNARDSVILLE MIDDLE SCHOOL                   8279

SOMERVILLE PUBLIC SCHOOLS                     123576
  CENTRAL ELEMENTARY SCHOOL                     9741
  SOMERVILLE HIGH SCHOOL                        9738
  SOMERVILLE MIDDLE SCHOOL                      9742
  VAN DERVEER ELEMENTARY SCHOOL                 9743

SOUTH AMBOY SCHOOL DISTRICT                   123579
  SOUTH AMBOY ELEMENTARY SCHOOL                 9755
  SOUTH AMBOY MIDDLE SCHOOL                     9757

SOUTH BOUND BROOK SCHOOL DIST                 123580
  BRAMPTON MIDDLE SCHOOL                        9761
  MORRIS-VOORHEES ELEM SCHOOL                   9760

SOUTH BRUNSWICK TWP SCH DIST                  123547
  BRUNSWICK ACRES ELEM SCHOOL                   9568
  CAMBRIDGE ELEMENTARY SCHOOL                   9565
  CONSTABLE ELEMENTARY SCHOOL                   9564
  CROSSROADS MIDDLE SCHOOL                      9627
  DAYTON ELEMENTARY SCHOOL                      9509
  DEANS ELEMENTARY SCHOOL                       9629
  GREENBROOK ELEMENTARY SCHOOL                  9566
  INDIAN FIELDS ELEMENTARY SCH                  9510
  SOUTH BRUNSWICK HIGH SCHOOL                   9625
  SOUTH BRUNSWICK UPPER ELEM SCH                9626

SOUTH HACKENSACK SCHOOL DIST                  122893
  MEMORIAL ELEMENTARY SCHOOL                    7692

SOUTH HARRISON TWP SCHOOL DIST                123206
  SOUTH HARRISON ELEMENTARY SCH                 8542

SOUTH HUNTERDON REGIONAL DIST                 123436
  SOUTH HUNTERDON REG HIGH SCH                  9192

SOUTH PLAINFIELD SCHOOL DIST                  122753
  FRANKLIN ELEMENTARY SCHOOL                    6974
  GRANT ELEMENTARY SCHOOL                      202282
  KENNEDY ELEMENTARY SCHOOL                     6980
  RILEY ELEMENTARY SCHOOL                       6979
  ROOSEVELT ELEMENTARY SCHOOL                   6976
  SOUTH PLAINFIELD HIGH SCHOOL                  6977
  SOUTH PLAINFIELD MIDDLE SCHOOL                6975

SOUTH RIVER SCHOOL DISTRICT                   123581
  CAMPBELL ELEMENTARY SCHOOL                    9765
  SOUTH RIVER HIGH SCHOOL                       9767
  SOUTH RIVER MIDDLE SCHOOL                     9762
  WILLETT ELEMENTARY SCHOOL                     9763

SOUTHAMPTON TWP SCHOOL DIST                   123296
  SOUTHAMPTON TWP SCHOOL 1                      8775

SOUTHERN GLOUCESTER CO REG S D                123398
  DELSEA MIDDLE SCHOOL                          9054
  DELSEA REGIONAL HIGH SCHOOL                   9055

SOUTHERN REGL HIGH SCHOOL DIST                123218
  SOUTHERN REGIONAL HIGH SCHOOL                 8579
  SOUTHERN REGIONAL MIDDLE SCH                  8573

SPARTA TWP SCHOOL DISTRICT                    123095
  HELEN MORGAN ELEMENTARY SCHOOL                8215
  SPARTA ALPINE ELEMENTARY SCH                  8212
  SPARTA HIGH SCHOOL                            8218
  SPARTA JUNIOR HIGH SCHOOL                     8214

SPOTSWOOD BOARD OF EDUCATION                  123583
  AUSTIN SCHOENLY ELEMENTARY SCH                9771
  MEMORIAL JUNIOR HIGH SCHOOL                   9768
  RAYMOND APPLEBY ELEMENTARY SCH                9769
  SPOTSWOOD HIGH SCHOOL                         9772

SPRING LAKE HTS SCHOOL DIST                   123035
  SPRING LAKE HTS ELEM SCHOOL                   8104

SPRING LAKE SCHOOL DISTRICT                   123034
  H W MOUNTZ ELEMENTARY SCHOOL                  8103

SPRINGFIELD PUBLIC SCHOOLS                    122754
  EDWARD V WALTON SCHOOL                        6987
  FLORENCE GAUDINEER MID SCHOOL                 6982
  JAMES CALDWELL ELEM SCHOOL                    6985
  THELMA SANDMEIER ELEM SCHOOL                  6988

SPRINGFIELD TWP SCHOOL DIST                   123207
  SPRINGFIELD TOWNSHIP ELEM SCH                 8543

STAFFORD TOWNSHIP SCHOOL DIST                 123217
  OXYCOCUS ELEMENTARY SCHOOL                    8577
  STAFFORD INTERMEDIATE SCHOOL                  8575

STANHOPE PUBLIC SCHOOL DIST                   123099
  STANHOPE PUBLIC SCHOOL                        8221

STERLING HIGH SCHOOL DISTRICT                 123285
  STERLING HIGH SCHOOL                          8754

STILLWATER TWP SCHOOL DISTRICT                123101
  STILLWATER TWP ELEM SCHOOL                    8224

STOCKTON BOROUGH SCHOOL DIST                  123451
  STOCKTON BURROUGH ELEM SCHOOL                 9244

STONE HARBOR SCHOOL DISTRICT                  123371
  STONE HARBOR ELEMENTARY SCHOOL                9006

STOW CREEK TWP SCHOOL DISTRICT                123386
  STOW CREEK TWP ELEM SCHOOL                    9037

STRATFORD SCHOOL DISTRICT                     123286
  PARKVIEW ELEMENTARY SCHOOL                    8755
  YELLIN ELEMENTARY SCHOOL                      8756

SUMMIT SCHOOL DISTRICT                        123113
  BRAYTON ELEMENTARY SCHOOL                     8261
  FRANKLIN ELEMENTARY SCHOOL                    8258
  JEFFERSON ELEMENTARY SCHOOL                   8262
  LINCOLN ELEMENTARY SCHOOL                     8257
  SUMMIT HIGH SCHOOL                            8263
  SUMMIT MIDDLE SCHOOL                          8260
  WASHINGTON ELEMENTARY SCHOOL                  8254

SUSSEX CO TECH SCHOOL DISTRICT                123097
  SUSSEX CO TECHNICAL CENTER                    8216

SUSSEX-WANTAGE REG SCHOOL DIST                122851
  CLIFTON LAWRENCE ELEM SCHOOL                  7532
  SUSSEX MIDDLE SCHOOL                          7534
  WANTAGE ELEMENTARY SCHOOL                     7537

SWEDESBORO-WOOLWICH SCH DIST                  123288
  CLIFFORD ELEMENTARY SCHOOL                    8758
  WALTER HILL ELEMENTARY SCHOOL                 8760

TABERNACLE SCHOOL DISTRICT                    123297
  OLSON MIDDLE SCHOOL                           8778
  TABERNACLE INTERMEDIATE SCHOOL                8779
  TABERNACLE PRIMARY SCHOOL                     8780

TEANECK SCHOOL DISTRICT                       122955
  BRYANT ELEMENTARY SCHOOL                      7842
  FRANKLIN MIDDLE SCHOOL                        7847
  HAWTHORNE ELEMENTARY SCHOOL                   7852
  JEFFERSON MIDDLE SCHOOL                       7850
  LONGFELLOW ELEMENTARY SCHOOL                  7849
  LOWELL ELEMENTARY SCHOOL                      7846
  TEANECK HIGH SCHOOL                           7851
  WHITTIER ELEMENTARY SCHOOL                    7848

TENAFLY SCHOOL DISTRICT                       122956
  MACKAY ELEMENTARY SCHOOL                      7853
  MAUGHAM ELEMENTARY SCHOOL                     7856
  SMITH ELEMENTARY SCHOOL                       7859
  STILLMAN ELEMENTARY SCHOOL                    7858
  TENAFLY HIGH SCHOOL                           7855
  TENAFLY MIDDLE SCHOOL                         7854

TEWKSBURY TOWNSHIP SCHOOL DIST                123055
  OLD TURNPIKE SCHOOL                           8134
  SAWMILL ELEMENTARY SCHOOL                     9593

TINTON FALLS SCHOOL DISTRICT                  122989
  MAHALA F ATCHINSON ELEM SCHOOL                7935
  SWIMMING RIVER ELEMENTARY SCH                 7933
  TINTON FALLS MIDDLE SCHOOL                    7938

TOMS RIVER REG SCHOOL DISTRICT                123492
  BEACHWOOD ELEMENTARY SCHOOL                   9400
  CEDAR GROVE ELEMENTARY SCHOOL                 9461
  EAST DOVER ELEMENTARY SCHOOL                  9462
  HOOPER AVE ELEMENTARY SCHOOL                  9458
  NORTH DOVER ELEMENTARY SCHOOL                 9470
  PINE BEACH ELEMENTARY SCHOOL                  9440
  SILVER BAY ELEMENTARY SCHOOL                  9457
  SOUTH TOMS RIVER ELEM SCHOOL                  9472
  TOMS RIVER EAST HIGH SCHOOL                   9463
  TOMS RIVER INTER EAST SCHOOL                  9456
  TOMS RIVER INTER WEST SCHOOL                  9455
  TOMS RIVER SOUTH HIGH SCHOOL                  9467
  WALNUT ST ELEMENTARY SCHOOL                   9464
  WASHINGTON ST ELEMENTARY SCH                  9466
  WEST DOVER ELEMENTARY SCHOOL                  9471

TOTOWA BOARD OF EDUCATION                     122882
  MEMORIAL MIDDLE SCHOOL                        7642
  WASHINGTON PARK ELEM SCHOOL                   7639

TOWNSHIP OF UNION PUBLIC SCHOOLS              122757
  BATTLE HILL ELEM SCHOOL                       6995
  BURNET MIDDLE SCHOOL                          6994
  CENTRAL FIVE-JEFFERSON SCHOOL                 7026
  CONNECTICUT FARMS ELEM SCHOOL                 6996
  FRANKLIN ELEMENTARY SCHOOL                    6991
  HAMILTON ELEMENTARY SCHOOL                    6992
  KAWAMEEH MIDDLE SCHOOL                        6997
  LIVINGSTON ELEMENTARY SCHOOL                  6999
  UNION HIGH SCHOOL                             6993
  WASHINGTON ELEMENTARY SCHOOL                  7000

TRENTON CITY SCHOOL DISTRICT                  123456
  CADWALADER ELEMENTARY SCHOOL                  9304
  COLUMBUS ELEMENTARY SCHOOL                    9335
  DUNN MIDDLE SCHOOL                            9272
  FRANKLIN ELEMENTARY SCHOOL                    9271
  GRANT ELEMENTARY SCHOOL                       9253
  GREGORY ELEMENTARY SCHOOL                     9299
  HARRISON ELEMENTARY SCHOOL                    9279
  HEDGEPETH-WILLIAMS MIDDLE SCH                 9328
  HILL ELEMENTARY SCHOOL                        9254
  HOLLAND MIDDLE SCHOOL                         9301
  JEFFERSON ELEMENTARY SCHOOL                   9340
  KILMER ELEMENTARY SCHOOL                      9285
  KING MIDDLE SCHOOL                            9339
  MONUMENT ELEMENTARY SCHOOL                    9295
  MOTT ELEMENTARY SCHOOL                        9284
  PARKER ELEMENTARY SCHOOL                      9283
  RIVERA ELEMENTARY SCHOOL                      9296
  ROBBINS ELEMENTARY SCHOOL                     9258
  ROBESON ELEMENTARY SCHOOL                     9327
  STOKES ELEMENTARY SCHOOL                      9293
  TRENTON CENTRAL HIGH SCHOOL                   9259
  WASHINGTON ELEMENTARY SCHOOL                  9277
  WILSON ELEMENTARY SCHOOL                      9337

TUCKERTON SCHOOL DISTRICT                     123293
  TUCKERTON ELEMENTARY SCHOOL                   8769

UNION BEACH BOROUGH SCH DIST                  123009
  MEMORIAL ELEMENTARY SCHOOL                    8011

UNION CITY SCHOOL DISTRICT                    122758
  COLUMBUS MIDDLE SCHOOL                        7012
  EDISON ELEMENTARY SCHOOL                      7004
  EMERSON HIGH SCHOOL                           7013
  GILMORE ELEMENTARY SCHOOL                     7002
  HUDSON ELEMENTARY SCHOOL                      7019
  JEFFERSON ELEMENTARY SCHOOL                   7015
  ROBERT WATERS ELEMENTARY SCH                  7003
  ROOSEVELT ELEMENTARY SCHOOL                   7021
  UNION HILL HIGH SCHOOL                        7020
  WASHINGTON ELEMENTARY SCHOOL                  7017

UNION CO EDUC SERV COMMISSION                 122765
  BEADLESTON HIGH SCHOOL                        6896
  CENTENNIAL HIGH SCHOOL                        7033
  HILLCREST ACADEMY HIGH SCHOOL                 6949
  WESTLAKE SCHOOL                               7041

UNION COUNTY VOCATIONAL-TECHNICAL SCH         122750
  UNION COUNTY VOC TECH INSTITUTE               6955

UNION TOWNSHIP SCHOOL DIST                    123527
  UNION TWP ELEM SCHOOL                         9574

UPPER DEERFIELD TWP SCH DIST                  123385
  CHARLES F SEABROOK ELEM SCHOOL                9034
  ELIZABETH F MOORE SCHOOL                      9035
  WOODRUFF SCHOOL                               9036

UPPER FREEHOLD REGL SCH DIST                  123424
  UPPER FREEHOLD REG ELEM SCHOOL                9146

UPPER PITTSGROVE SCHOOL DIST                  123409
  UPPER PITTSGROVE ELEM SCHOOL                  9083

UPPER SADDLE RIVER SCHOOL DIST                122849
  EDITH BOGERT ELEMENTARY SCHOOL                7527
  EMIL A CAVALLINI MIDDLE SCHOOL                7528
  ROBERT D REYNOLDS ELEM SCHOOL                 7529

UPPER TOWNSHIP SCHOOL DISTRICT                123377
  UPPER TOWNSHIP ELEMENTARY SCH                 8964
  UPPER TOWNSHIP MIDDLE SCHOOL                  9021
  UPPER TOWNSHIP PRIMARY SCHOOL                 8965

VENTNOR CITY PUBLIC SCHOOLS                   123423
  VENTNOR EDUC COMMUNITY COMPLEX                9141

VERNON TOWNSHIP SCHOOL DIST                   122853
  CEDAR MOUNTAIN PRIMARY SCHOOL                 7541
  GLEN MEADOW MIDDLE SCHOOL                     7542
  LOUNSBERRY HOLLOW MIDDLE SCH                  7540
  ROLLING HILLS PRIMARY SCHOOL                  7543
  VERNON TOWNSHIP HIGH SCHOOL                   7544
  WALNUT RIDGE PRIMARY SCHOOL                   7539

VERONA BOARD OF EDUCATION                     122704
  BROOKDALE AVE ELEMENTARY SCH                  6738
  BROWN ELEMENTARY SCHOOL                       6734
  FOREST AVE ELEMENTARY SCHOOL                  6732
  LANING AVE ELEMENTARY SCHOOL                  6739
  VERONA HIGH SCHOOL                            6733
  WHITEHORNE MIDDLE SCHOOL                      6735

VINELAND SCHOOL DISTRICT                      123417
  BUTLER AVE KINDERGARTEN CENTER                9123
  CUNNINGHAM ELEMENTARY SCHOOL                  9110
  DANE BARSE ELEMENTARY SCHOOL                  9108
  EAST VINELAND KINDERGARTEN CTR                9122
  JOHNSTONE ELEMENTARY SCHOOL                   9125
  LANDIS INTERMEDIATE SCHOOL                    9117
  MARIE DURAND ELEMENTARY SCHOOL                9101
  MAURICE FELS KINDERGARTEN CTR                 9109
  MAX LEUCHTER ELEMENTARY SCHOOL                9105
  MEMORIAL INTERMEDIATE SCHOOL                  9116
  MENNIES ELEMENTARY SCHOOL                     9114
  OAK AND MAIN KINDERGARTEN CTR                 9103
  ROSSI INTERMEDIATE SCHOOL                     9124
  SOLVE E D'IPPOLITO INTER SCH                  9102
  SOUTH VINELAND ELEMENTARY SCH                 9115
  VINELAND HIGH SCHOOL 11-12 SOUTH              9099
  VINELAND HIGH SCHOOL 9-10 NORTH               9098
  WINSLOW ELEMENTARY SCHOOL                     9121

VOORHEES TWP PUBLIC SCH DIST                  123210
  HAMILTON ELEMENTARY SCHOOL                    8551
  KRESSON ELEMENTARY SCHOOL                     8544
  OSAGE ELEMENTARY SCHOOL                       8548
  SIGNAL HILL ELEMENTARY SCHOOL                 8550
  VOORHEES MIDDLE SCHOOL                        8545

WALDWICK SCHOOL DISTRICT                      122855
  CRESCENT ELEMENTARY SCHOOL                    7545
  J A TRAPHAGEN ELEM SCHOOL                     7546
  WALDWICK JR-SR HIGH SCHOOL                    7547

WALL TOWNSHIP SCHOOL DISTRICT                 122977
  ALLENWOOD ELEMENTARY SCHOOL                   7910
  CENTRAL ELEMENTARY SCHOOL                     7911
  OLD MILL ELEMENTARY SCHOOL                    7912
  WALL HIGH SCHOOL                              7913
  WALL INTERMEDIATE SCHOOL                      7914
  WEST BELMAR ELEMENTARY SCHOOL                 7915

WALLINGTON PUBLIC SCHOOL DIST                 122721
  FRANK W GAVLAK ELEMENTARY SCH                 6833
  JEFFERSON ELEMENTARY SCHOOL                   6836
  WALLINGTON HIGH SCHOOL                        6835

WALLKILL VLY REG HIGH SCH DIST                122818
  WALLKILL VLY REG HIGH SCHOOL                  7439

WANAQUE SCHOOL DISTRICT                       122856
  HASKELL ELEMENTARY SCHOOL                     7442
  WANAQUE ELEMENTARY SCHOOL                     7550

WARREN HILLS REGIONAL SCH DIST                123108
  WARREN CO VOC-TECH INSTITUTE                  8245
  WARREN HILLS MIDDLE SCHOOL                    8239
  WARREN HILLS SENIOR HIGH SCH                  8238

WARREN TOWNSHIP                               122723
  CENTRAL ELEMENTARY SCHOOL                     6840
  MOUNT HOREB ELEMENTARY SCHOOL                 6841
  TOMASO ELEMENTARY SCHOOL                      6846
  WARREN MIDDLE SCHOOL                          6845

WASHINGTON BOROUGH SCHOOL DIST                123105
  MEMORIAL ELEMENTARY SCHOOL                    8240
  TAYLOR STREET ELEM SCHOOL                     8241

WASHINGTON TOWNSHIP (BURLINGTON CO)	      123354
	GREEN BANK ELEMENTARY SCHOOL	        8954

WASHINGTON TOWNSHIP (GLOUCESTER CO)	      123276
	BELLS ELEMENTARY SCHOOL	                8428
	BIRCHES ELEMENTARY SCHOOL	        8427
	BUNKER HILL MIDDLE SCHOOL	        8740
	CHESTNUT RIDGE MIDDLE SCHOOL	        8735
	GRENLOCH TERRACE CHILDHOOD CENTER	8741
	HURFFVILLE ELEMENTARY SCHOOL	        8737
	ORCHARD VALLEY MIDDLE SCHOOL	        8736
	THOMAS JEFFERSON ELEMENTARY SCHOOL	8429
	WASHINGTON TOWNSHIP HIGH SCHOOL	        8738
	WEDGWOOD ELEMENTARY SCHOOL	        8743
	WHITMAN ELEMENTARY SCHOOL	        8426

WASHINGTON TOWNSHIP (MERCER CO)	              123452
	POND ROAD MIDDLE SCHOOL	                9375
	SHARON ELEMENTARY SCHOOL	        9374

WASHINGTON TOWNSHIP (MORRIS CO)	              123074
	FLOCKTOWN ROAD ELEMENTARY SCHOOL	8174
	KOSSMANN ELEMENTARY SCHOOL	        8175
	LONG VALLEY MIDDLE SCHOOL NORTH	        8173
	LONG VALLEY MIDDLE SCHOOL SOUTH	      230967
	OLD FARMERS ROAD ELEMENTARY SCHOOL	8172

WASHINGTON TOWNSHIP (WARREN CO)	              123109
	BRASS CASTLE ELEMENTARY SCHOOL	        8247
	PORT COLDEN ELEMENTARY SCHOOL	        8242

WATCHUNG BOROUGH SCHOOL DIST                  122728
  BAYBERRY ELEMENTARY SCHOOL                    6847
  VALLEY VIEW MIDDLE SCHOOL                     6869

WATCHUNG HILLS REG H S DIST                   122724
  WATCHUNG HILLS REG HIGH SCHOOL                6844

WATERFORD TOWNSHIP SCHOOL DISTRICT            123302
  ATCO ELEMENTARY SCHOOL                        8400
  THOMAS RICHARDS ELEMENTARY SCH                8402
  WATERFORD ELEMENTARY SCHOOL                   8783

WAYNE TWP SCHOOL DISTRICT                     122861
  CARTER ELEMENTARY SCHOOL                      7566
  KENNEDY ELEMENTARY SCHOOL                     7556
  LAFAYETTE ELEMENTARY SCHOOL                   7557
  PACKANACK ELEMENTARY SCHOOL                   7569
  PINES LAKE ELEMENTARY SCHOOL                  7552
  RYERSON ELEMENTARY SCHOOL                     7573
  SCHUYLER COLFAX MIDDLE SCHOOL                 7564
  TERHUNE ELEMENTARY SCHOOL                     7563
  THEUNIS DEY ELEMENTARY SCHOOL                 7567
  WASHINGTON MIDDLE  SCHOOL                     7568
  WAYNE HILLS HIGH SCHOOL                       7559
  WAYNE VALLEY HIGH SCHOOL                      7561

WEEHAWKEN TOWNSHIP SCHOOL DIST                122761
  THEODORE ROOSEVELT ELEM SCH                   7023
  WEBSTER SCHOOL                                7014
  WEEHAWKEN HIGH SCHOOL                         7024

WENONAH SCHOOL DISTRICT                       123304
  WENONAH ELEMENTARY SCHOOL                     8786

WEST AMWELL TWP SCHOOL DIST                   123437
  WEST AMWELL TWP ELEM SCHOOL                   9193

WEST CAPE MAY SCHOOL DISTRICT                 123342
  WEST CAPE MAY ELEM SCHOOL                     8930

WEST DEPTFORD TWP SCH DISTRICT                123247
  GREEN FIELDS ELEMENTARY SCHOOL                8819
  OAKVIEW ELEMENTARY SCHOOL                     8811
  RED BANK ELEMENTARY SCHOOL                    8766
  WEST DEPTFORD HIGH SCHOOL                     8791
  WEST DEPTFORD MIDDLE SCHOOL                   8664

WEST ESSEX REGIONAL SCH DIST                  122647
  WEST ESSEX JUNIOR HIGH SCHOOL                 6495
  WEST ESSEX SENIOR HIGH SCHOOL                 6496

WEST LONG BRANCH SCHOOL DIST                  123038
  FRANK ANTONIDES ELEM SCHOOL                   8108
  WEST LONG BRANCH PRIMARY SCH                  8106

WEST MILFORD TOWNSHIP SCH DIST                122863
  APSHAWA ELEMENTARY SCHOOL                     7580
  MACOPIN MIDDLE SCHOOL                         7574
  MAPLE ROAD ELEMENTARY SCHOOL                  7577
