<pre>
<B>Information is listed alphabetically by district.
Use the "Edit," "Find" function of your browser to search for a district.


SCHOOL DISTRICT/SCHOOL                 ENTITY NUMBER
  PAINE ELEMENTARY SCHOOL                       8519
  SHARP ELEMENTARY SCHOOL                       8389
  STOCKTON ELEMENTARY SCHOOL                    8391
  WOODCREST ELEMENTARY SCHOOL                   8397

CHESILHURST BOROUGH SCHOOL DISTRICT           123301
  FOSTER ELEMENTARY SCHOOL                      8782

CHESTER TWP SCHOOL DISTRICT                   123130
  BLACK RIVER MIDDLE SCHOOL                     8295
  BRAGG ELEMENTARY SCHOOL                       8296
  DICKERSON ELEMENTARY SCHOOL                   8297

CHESTERFIELD TWP SCHOOL DIST                  123459
  CHESTERFIELD ELEMENTARY SCHOOL                9315

CINNAMINSON TOWNSHIP SCH DIST                 123263
  CINNAMINSON HIGH SCHOOL                       8716
  CINNAMINSON MIDDLE SCHOOL                     8711
  NEW ALBANY ELEMENTARY SCHOOL                  8712
  RUSH ELEMENTARY SCHOOL                        8713

CLARK TOWNSHIP SCHOOL DISTRICT                122731
  CARL H KUMPF MIDDLE SCHOOL                    6891
  FRANK K HEHNLY ELEM SCHOOL                    6899
  VALLEY ROAD ELEM SCHOOL                       6893

CLAYTON SCHOOL DISTRICT                       123391
  CLAYTON MIDDLE & HIGH SCHOOL                  9046
  HERMA SIMMONS ELEMENTARY SCH                  9047

CLEARVIEW REG HIGH SCHOOL DIST                123240
  CLEARVIEW REG MIDDLE SCHOOL                   8652
  CLEARVIEW REG SR HIGH SCHOOL                  8653

CLEMENTON SCHOOL DISTRICT                     123176
  CLEMENTON ELEMENTARY SCHOOL                   8465

CLIFFSIDE PARK BOARD OF EDUCATION             122657
  CLIFFSIDE PARK #3 ELEM SCHOOL                 6519
  CLIFFSIDE PARK #4 ELEM SCHOOL                 6520
  CLIFFSIDE PARK #5 ELEM SCHOOL                 6523
  CLIFFSIDE PARK #6 ELEM SCHOOL                 6521
  CLIFFSIDE PARK HIGH SCHOOL                    6522

CLIFTON SCHOOL DISTRICT                       122660
  CLIFTON ELEMENTARY SCHOOL 01                  6533
  CLIFTON ELEMENTARY SCHOOL 02                  6542
  CLIFTON ELEMENTARY SCHOOL 04                  6532
  CLIFTON ELEMENTARY SCHOOL 05                  6541
  CLIFTON ELEMENTARY SCHOOL 08                  6552
  CLIFTON ELEMENTARY SCHOOL 09                  6539
  CLIFTON ELEMENTARY SCHOOL 11                  6527
  CLIFTON ELEMENTARY SCHOOL 12                  6528
  CLIFTON ELEMENTARY SCHOOL 13                  6544
  CLIFTON ELEMENTARY SCHOOL 14                  6538
  CLIFTON ELEMENTARY SCHOOL 15                  6536
  CLIFTON ELEMENTARY SCHOOL 16                  6550
  CLIFTON HIGH SCHOOL                           6543
  CLIFTON PUBLIC SCHOOL #3                      6535
  COLUMBUS MIDDLE SCHOOL                        6534
  WILSON MIDDLE SCHOOL                          6547

CLINTON TOWN SCHOOL DISTRICT                  123507
  CLINTON TOWN ELEMENTARY SCHOOL                9508

CLINTON TOWNSHIP SCHOOL DIST                  123496
  PATRICK MCGAHERAN ELEM SCHOOL                 9591
  ROUND VALLEY MIDDLE SCHOOL                    9592
  SPRUCE RUN ELEMENTARY SCHOOL                  9506

CLOSTER SCHOOL DISTRICT                       122901
  HILLSIDE ELEMENTARY SCHOOL                    7710
  TENAKILL MIDDLE SCHOOL                        7708

COLLINGSWOOD SCHOOL DISTRICT                  123331
  COLLINGSWOOD MIDDLE SCHOOL                    8888
  COLLINGSWOOD SR HIGH SCHOOL                   8887
  GARFIELD ELEMENTARY SCHOOL                    8882
  NEWBIE ELEMENTARY SCHOOL                      8881
  SHARP ELEMENTARY SCHOOL                       8876
  TATEM ELEMENTARY SCHOOL                       8883
  ZANE NORTH ELEMENTARY SCHOOL                  8889

COLTS NECK TWP SCHOOL DISTRICT                122982
  CEDAR DRIVE ELEMENTARY SCHOOL                 7927
  CONOVER ROAD ELEMENTARY SCHOOL                7926

COMMERCIAL TWP SCHOOL DISTRICT                123414
  HALEYVILLE-MAURICETOWN SCHOOL                 9094
  PORT NORRIS ELEMENTARY SCHOOL                 9093

CRANBURY TWP SCHOOL DISTRICT                  123428
  CRANBURY ELEMENTARY SCHOOL                    9160

CRANFORD SCHOOL DISTRICT                      122662
  BROOKSIDE PLACE ELEM SCHOOL                   6555
  CRANFORD SENIOR HIGH SCHOOL                   6556
  HILLSIDE AVENUE SCHOOL                        6554
  LIVINGSTON AVE ELEM SCHOOL                    6561
  ORANGE AVENUE SCHOOL                          6558
  WALNUT AVENUE ELEM SCHOOL                     6562

CRESSKILL SCHOOL DISTRICT                     122902
  CRESSKILL HIGH SCHOOL                         7712
  EDWARD H BRYAN ELEM SCHOOL                    7713
  MERRITT MEMORIAL ELEM SCHOOL                  7714

CUMBERLAND CO TECH EDN CENTER                 123382
  CUMBERLAND CO TECH ED CENTER                  9031

CUMBERLAND REGIONAL SCH DIST                  123383
  CUMBERLAND REG HIGH SCHOOL                    9032

DEAL BOROUGH SCHOOL DISTRICT                  122984
  DEAL ELEMENTARY SCHOOL                        7928

DEERFIELD TOWNSHIP SCHOOL DIST                123415
  DEERFIELD TOWNSHIP ELEM SCHOOL                9096

DELANCO BOARD OF EDUCATION                    123261
  M J PEARSON ELEMENTARY SCHOOL                 8699
  WALNUT ST ELEMENTARY SCHOOL                   8710

DELAWARE TOWNSHIP SCHOOL                      123449
  DELAWARE TWP ELEM SCHOOL 1                    9240

DELAWARE VALLEY REG H S DIST                  123525
  DELAWARE VALLEY HIGH SCHOOL                   9571

DELRAN TOWNSHIP SCHOOL DIST                   123258
  DELRAN HIGH SCHOOL                            8706
  DELRAN MIDDLE SCHOOL                          8696
  MILLBRIDGE PRIMARY SCHOOL                     8704

DEMAREST SCHOOL DISTRICT                      122905
  COUNTY ROAD ELEMENTARY SCHOOL                 7719
  DEMAREST MIDDLE SCHOOL                        7718
  LUTHER LEE EMERSON ELEM SCH                   7715

DENNIS TOWNSHIP SCHOOL DIST                   123352
  DENNIS TWP ELEMENTARY SCHOOL                  8948

DENVILLE TOWNSHIP SCHOOL DIST                123061
  LAKEVIEW ELEMENTARY SCHOOL                    8145
  RIVERVIEW ELEMENTARY SCHOOL                   8142
  VALLEYVIEW MIDDLE SCHOOL                      8144

DEPTFORD SCHOOL DISTRICT                      123312
  CENTRAL ELEMENTARY SCHOOL                     8806
  DEPTFORD TOWNSHIP HIGH SCHOOL                 8815
  GOOD INTENT ELEMENTARY SCHOOL                 8817
  LAKE TRACT ELEMENTARY SCHOOL                  8808
  MONONGAHELA MIDDLE SCHOOL                     8732
  NEW SHARON SPEC ELEM SCHOOL                   8814
  OAK VALLEY ELEMENTARY SCHOOL                  8785
  PINE ACRES ELEMENTARY SCHOOL                  8784
  SHADY LANE ELEMENTARY SCHOOL                  8793

DOVER SCHOOL DISTRICT                         123039
  ACADEMY STREET ELEMENTARY SCH                 8120
  DOVER HIGH SCHOOL                             8116
  EAST DOVER ELEMENTARY SCHOOL                  8118
  NORTH DOVER ELEMENTARY SCHOOL                 8115

DOWNE TOWNSHIP SCHOOL DISTRICT                123411
  DOWNE TOWNSHIP ELEM SCHOOL                    9089
  DOWNE TOWNSHIP PRIMARY SCHOOL                 9090

DUMONT SCHOOL DISTRICT                        122908
  DUMONT HIGH SCHOOL                            7725
  GRANT ELEMENTARY SCHOOL                       7722
  HONISS ELEMENTARY SCHOOL                      7726
  LINCOLN ELEMENTARY SCHOOL                     7724
  SELZER ELEMENTARY SCHOOL                      7721

DUNELLEN SCHOOL DISTRICT                      123508
  DUNELLEN HIGH SCHOOL                          9513
  JOHN P FABER ELEMENTARY SCHOOL                9511

EAGLESWOOD TWP SCHOOL DISTRICT                123307
  EAGLESWOOD TWP ELEMENTARY SCH                 8789

EAST AMWELL TOWNSHIP SCHOOL DISTRICT          123446
  EAST AMWELL TWP ELEM SCHOOL                   9234

EAST BRUNSWICK PUBLIC SCH DIST                123513
  BOWNE-MUNRO ELEMENTARY SCHOOL                 9529
  CENTRAL ELEMENTARY SCHOOL                     9524
  CHITTICK ELEMENTARY SCHOOL                    9527
  CHURCHILL JUNIOR HIGH SCHOOL                  9517
  EAST BRUNSWICK HIGH SCHOOL                    9523
  FROST ELEMENTARY SCHOOL                       9530
  HAMMARSKJOLD MIDDLE SCHOOL                    9525
  IRWIN ELEMENTARY SCHOOL                       9526
  LAWRENCE BROOK ELEM SCHOOL                    9516
  MEMORIAL ELEMENTARY SCHOOL                    9521
  WARNSDORFER ELEMENTARY SCHOOL                 9518

EAST GREENWICH TWP SCHOOL DIST                123226
  CLARK SCHOOL                                  8623
  SAMUEL MICKLE SCHOOL                          8624

EAST HANOVER TWP SCHOOL DIST                  123136
  CENTRAL ELEMENTARY SCHOOL                     8308
  EAST HANOVER MIDDLE SCHOOL                    8311
